DIM name	Reference ID	Code	Derived from	OrigSeq	PHD MajSeq	PHD MinSeq	Note
	MDC_DEV_SPEC_PROFILE_PULS_OXIM	4100		92	8	4	Algorithm = 4096 + zz where zz is -104zz.
	MDC_DEV_SPEC_PROFILE_MIN_ECG	4102		93	8	5	
	MDC_DEV_SPEC_PROFILE_BP	4103		94	8	6	
	MDC_DEV_SPEC_PROFILE_TEMP	4104		95	8	7	
	MDC_DEV_SPEC_PROFILE_RESP_RATE	4109		96	8	8	
	MDC_DEV_SPEC_PROFILE_SCALE	4111		97	8	9	
	MDC_DEV_SPEC_PROFILE_GLUCOSE	4113		98	8	10	
	MDC_DEV_SPEC_PROFILE_INR	4114		99	8	11	International normalized ratio
	MDC_DEV_SPEC_PROFILE_INSULIN_PUMP	4115		100	8	12	
	MDC_DEV_SPEC_PROFILE_INSULIN_PUMP	4115		101	8	13	Duplicates 20601
	MDC_DEV_SPEC_PROFILE_BCA	4116		102	8	14	Body Composition Analyzer
	MDC_DEV_SPEC_PROFILE_PEAK_FLOW	4117		103	8	15	
	MDC_DEV_SPEC_PROFILE_PEFM	4117		104	8	16	
	MDC_DEV_SPEC_PROFILE_HF_CARDIO	4137		105	8	17	Duplicates 20601
	MDC_DEV_SPEC_PROFILE_HF_CARDIO	4137		106	8	18	
	MDC_DEV_SPEC_PROFILE_HF_STRENGTH	4138		107	8	19	
	MDC_DEV_SPEC_PROFILE_HF_STRENGTH	4138		108	8	20	Duplicates 20601
	MDC_DEV_SPEC_PROFILE_AI_ACTIVITY_HUB	4167		109	8	21	
	MDC_DEV_SPEC_PROFILE_AI_MED_MINDER	4168		110	8	22	
	STARTING OF RESERVED RANGE	4196		111	8	23	The range from 4196 to 5119 is reserved for sub classifying devices within other specialziations (profiles).  For instance in the -10441 (Cardio) specialization the plan is to define step counters as a sub-type
	MDC_DEV_SUB_SPEC_PROFILE_STEP_COUNTER	4200		112	8	24	4196 through 4211 used for -10441 (Cardio)
	MDC_DEV_SUB_SPEC_PROFILE_FALL_SENSOR	4213		113	8	25	4212 through 4235 used for -10471 (Activity hub)
	MDC_DEV_SUB_SPEC_PROFILE_PERS_SENSOR	4214		114	8	26	
	MDC_DEV_SUB_SPEC_PROFILE_SMOKE_SENSOR	4215		115	8	27	
	MDC_DEV_SUB_SPEC_PROFILE_CO_SENSOR	4216		116	8	28	
	MDC_DEV_SUB_SPEC_PROFILE_WATER_SENSOR	4217		117	8	29	
	MDC_DEV_SUB_SPEC_PROFILE_GAS_SENSOR	4218		118	8	30	
	MDC_DEV_SUB_SPEC_PROFILE_MOTION_SENSOR	4219		119	8	31	
	MDC_DEV_SUB_SPEC_PROFILE_PROPEXIT_SENSOR	4220		120	8	32	
	MDC_DEV_SUB_SPEC_PROFILE_ENURESIS_SENSOR	4221		121	8	33	
	MDC_DEV_SUB_SPEC_PROFILE_CONTACTCLOSURE_SENSOR	4222		122	8	34	
	MDC_DEV_SUB_SPEC_PROFILE_USAGE_SENSOR	4223		123	8	35	
	MDC_DEV_SUB_SPEC_PROFILE_SWITCH_SENSOR	4224		124	8	36	
	MDC_DEV_SUB_SPEC_PROFILE_DOSAGE_SENSOR	4225		125	8	37	
	MDC_DEV_SUB_SPEC_PROFILE_TEMP_SENSOR	4226		126	8	38	
	MDC_DEV_SUB_SPEC_PROFILE_ECG 	4236		127	8	39	4236 through 4243 used for -10406 (Basic ECG)
	MDC_DEV_SUB_SPEC_PROFILE_HR	4237		128	8	40	
	END OF RESERVED RANGE	5119		129	8	41	The range from 4196 to 5119 is reserved for sub classifying devices within other specialziations (profiles).  For instance in the -10441 (Cardio) specialization the plan is to define step counters as a sub-type
	MDC_INFRA_HARMONIZATION_CONTINUA			130	8	42	Continua-related Harmonization range start
	MDC_ID_MODEL_NUMBER			131	8	43	"MDS::MDC_ATTR_ID_MODEL 
Denotes model number sub-element"
	MDC_ID_MODEL_MANUFACTURER			132	8	44	"MDS::MDC_ATTR_ID_MODEL 
Denotes manufacturer number sub-element"
	MDC_ID_PROD_SPEC_UNSPECIFIED			133	8	45	"MDS::MDC_ATTR_ID_PROD_SPECN 
Denotes unspecified component id group"
	MDC_ID_PROD_SPEC_SERIAL			134	8	46	"MDS::MDC_ATTR_ID_PROD_SPECN 
Denotes serial-number component id group"
	MDC_ID_PROD_SPEC_PART			135	8	47	"MDS::MDC_ATTR_ID_PROD_SPECN 
Denotes part-number component id group"
	MDC_ID_PROD_SPEC_HW			136	8	48	"MDS::MDC_ATTR_ID_PROD_SPECN 
Denotes hw-revision component id group"
	MDC_ID_PROD_SPEC_SW			137	8	49	"MDS::MDC_ATTR_ID_PROD_SPECN 
Denotes sw-revision component id group"
	MDC_ID_PROD_SPEC_FW			138	8	50	"MDS::MDC_ATTR_ID_PROD_SPECN 
Denotes fw-revision component id group"
	MDC_ID_PROD_SPEC_PROTOCOL_REV			139	8	51	"MDS::MDC_ATTR_ID_PROD_SPECN 
Denotes protocol-revision component id group"
	MDC_ID_PROD_SPEC_GMDN			140	8	52	"MDS::MDC_ATTR_ID_PROD_SPECN
Denotes prod-spec-gmdn component id group"
	MDC_MODALITY_AVERAGING_TIME			141	8	53	"10404: SPO2 or Pulse Rate Modality, an enumeration of
150580^MDC_MODALITY_FAST^MDC or
150584^MDC_MODALITY_SLOW^MDC or
150588^MDC_MODALITY_SPOT^MDC
Used to denote modality (ex. SPO2, pulse rate,)"
	MDC_SA_SPECN_FLAGS			142	8	54	"RT-SA
Sample Array Flags used to help downstream consumers display the Sa-Value waveform"
	MDC_TIME_SYNC_NONE	7936		143	8	55	
	MDC_TIME_SYNC_NTPV3	7937		144	8	56	
	MDC_TIME_SYNC_NTPV4	7938		145	8	57	
	MDC_TIME_SYNC_SNTPV4	7939		146	8	58	
	MDC_TIME_SYNC_SNTPV4330	7940		147	8	59	
	MDC_TIME_SYNC_BTV1	7941		148	8	60	
	MDC_TIME_SYNC_RADIO	7942		149	8	61	Atomic Clock synchronization through RF
	MDC_TIME_SYNC_HL7_NCK	7943		150	8	62	Synchronized via Health Level 7 NCK (network clock)
	MDC_TIME_SYNC_CDMA	7944		151	8	63	CDMA mobile telecommunications system synchronization
	MDC_TIME_SYNC_GSM	7945		152	8	64	GSM - Network Identity and Time Zone (NITZ) 
	MDC_TIME_SYNC_EBWW	7946		153	8	65	"A manually set time, by ‘eyball and wristwatch’"
	MDC_TIME_SYNC_USB_SOF	7947		154	8	66	"Synced to the the 1kHz USB ""start-of-frame"" clock"
	MDC_REG_CERT_DATA_CONTINUA_VERSION	64512		155	8	67	"Continua specific (OEM) code - MDS::MDC_ATTR_REG_CERT_DATA_LIST
Denotes Continua Version sub-element"
	MDC_REG_CERT_DATA_CONTINUA_CERT_DEV_LIST 	64513		156	8	68	"Continua specific (OEM) code - MDS::MDC_ATTR_REG_CERT_DATA_LIST
Denotes Continua Certification Device Class List sub-element"
	MDC_REG_CERT_DATA_CONTINUA_REG_STATUS 	64514		157	8	69	"Continua specific (OEM) code - MDS::MDC_ATTR_REG_CERT_DATA_LIST
Denotes Continua Regulation BitField sub-element"
